URL,Address,Title
https://sfbay.craigslist.org/sfc/roo/6153670228.html,mission district,Roomate Mission District Cool large space
https://sfbay.craigslist.org/sfc/roo/6175620105.html,potrero hill,"Bright bedroom in beautiful 3 bdr - $1,550"
https://sfbay.craigslist.org/sfc/roo/6175618945.html,SOMA / south beach,Converted bedroom in 2Br2Ba. Prime location & flexible timing
https://sfbay.craigslist.org/sfc/roo/6175617359.html,inner richmond,"Private Room and Bathroom for Rent 1,350"
https://sfbay.craigslist.org/sfc/roo/6169913910.html,pacific heights,Awesome Master Bedroom in Pac Heights Available August 1st!
https://sfbay.craigslist.org/sfc/roo/6175586852.html,marina / cow hollow,"Large, quiet MBR in spacious 2 BR Marina apt"
https://sfbay.craigslist.org/sfc/roo/6163287838.html,potrero hill,Looking for a Female Housemate Wanted for 3Bdr Lovely Home
https://sfbay.craigslist.org/sfc/roo/6175601319.html,pacific heights,Large Sunny Room in Beautiful Pac Heights Apartment
https://sfbay.craigslist.org/sfc/roo/6175600563.html,north beach / telegraph hill,"Seeking Roommate to Move in July 1, Great Location, Great Room"
https://sfbay.craigslist.org/sfc/roo/6175585637.html,ingleside / SFSU / CCSF,Private Room
https://sfbay.craigslist.org/sfc/roo/6175592486.html,twin peaks / diamond hts,Furnished Bedroom in beautiful Diamond Heights!
https://sfbay.craigslist.org/sfc/roo/6151330503.html,mission district,Single Bedroom Available For Rent in SOMA
https://sfbay.craigslist.org/sfc/roo/6139515839.html,potrero hill,Roommate Potrero Hill Top Townhouse
https://sfbay.craigslist.org/sfc/roo/6160548025.html,potrero hill,Potrero Hill Home
https://sfbay.craigslist.org/sfc/roo/6175577069.html,,"Summer of LOVE spacious, bright and cozy room avail June 15th"
https://sfbay.craigslist.org/sfc/roo/6168250341.html,ingleside / SFSU / CCSF,"Great Location! 1 block way from CCSF, 2 blocks from Balboa BART; SFSU"
https://sfbay.craigslist.org/sfc/roo/6165470223.html,mission district,Potrero area apartment available for rent!
https://sfbay.craigslist.org/sfc/roo/6175570891.html,russian hill,Sunny 1 bdr in 2 bdr spacious apartment
https://sfbay.craigslist.org/sfc/roo/6175566510.html,sunset / parkside,Room for rent- Share 2 bedroom House in The Sunset. Great view.
https://sfbay.craigslist.org/sfc/roo/6166780208.html,north beach / telegraph hill,Fullly furnished Bed Room/Amazing view/ POOL
https://sfbay.craigslist.org/sfc/roo/6175536031.html,ingleside / SFSU / CCSF,Spacious Room-Walk to SFSU/CCSF/BART Station/StonesTown Galleria Mall
https://sfbay.craigslist.org/sfc/roo/6175551987.html,glen park,Glen Park 二楼 二房间分租
https://sfbay.craigslist.org/sfc/roo/6158772644.html,ingleside / SFSU / CCSF,Spacious Room-walk to SFSU/CCSF/Bart Station /Stonetown Mall
https://sfbay.craigslist.org/sfc/roo/6175551151.html,russian hill,Ideal location - nice bright private bedrm
https://sfbay.craigslist.org/sfc/roo/6175457444.html,inner richmond,Studio with Shared Bathroom
https://sfbay.craigslist.org/sfc/roo/6170724387.html,ingleside / SFSU / CCSF,Spacious Room-Walk to SFSU/CCSF/BART Station/StonesTown Galleria Mall
https://sfbay.craigslist.org/sfc/roo/6156129053.html,mission district,"4 Bedroom apartment, 1 block from Dolores park!"
